Name,Symbol,Price,1h price,24h price,7d price,30d price,Total volume 24h,Circulating supply,Total supply,Market cap
Shiba Inu,SHIB,"US$0,00000725",-0.3%,-0.6%,-1.9%,-10.3%,US$57.544.574,"
589.329.426.225.965
","
1 Quadriliun
",US$4.274.687.121
Wrapped Bitcoin,WBTC,"US$26.222,71",-0.3%,-0.6%,-3.8%,0.2%,US$50.624.198,"
162.875
","
163 Ribu
",US$4.271.048.810
Bitcoin Cash,BCH,"US$214,60",-0.4%,1.4%,-2.4%,10.1%,US$151.365.571,"
19.515.212
","
21 Juta
",US$4.187.467.092
Chainlink,LINK,"US$7,29",-0.6%,-3.0%,6.3%,21.4%,US$228.210.596,"
556.849.971
","
1 Miliar
",US$4.059.580.297
Dai,DAI,"US$1,00",0.0%,-0.1%,0.0%,0.1%,US$95.853.426,"
3.816.004.144
","
3,82 Miliar
",US$3.825.510.641
TrueUSD,TUSD,"US$1,00",-0.0%,-0.0%,-0.1%,0.2%,US$131.215.485,"
3.458.819.700
","
3,46 Miliar
",US$3.462.366.294
LEO Token,LEO,"US$3,66",0.4%,-3.5%,-2.2%,-4.0%,US$459.645,"
929.214.785
","
985 Juta
",US$3.420.872.811
Uniswap,UNI,"US$4,25",-0.3%,-0.9%,-4.2%,-9.0%,US$52.325.999,"
753.766.667
","
1 Miliar
",US$3.202.513.448
Avalanche,AVAX,"US$8,97",-0.4%,0.4%,-2.8%,-12.0%,US$97.780.597,"
354.132.207
","
431 Juta
",US$3.176.640.674
Stellar,XLM,"US$0,112138",0.2%,-1.1%,-5.2%,-7.4%,US$38.441.854,"
27.707.607.815
","
50 Miliar
",US$3.106.738.784
Monero,XMR,"US$144,53",-0.0%,-0.8%,-1.9%,0.1%,US$42.254.599,"
18.147.820
","
∞
",US$2.622.300.963
OKB,OKB,"US$43,16",-0.0%,0.0%,-2.2%,0.3%,US$3.048.013,"
60.000.000
","
236 Juta
",US$2.588.072.720
BUSD,BUSD,"US$1,00",0.0%,0.0%,-0.0%,0.1%,US$1.574.503.138,"
2.318.468.272
","
2,32 Miliar
",US$2.324.319.267
Ethereum Classic,ETC,"US$15,12",-0.5%,-1.2%,-4.3%,-5.2%,US$50.676.500,"
143.202.120
","
211 Juta
",US$2.165.475.909
Cosmos Hub,ATOM,"US$7,01",-0.4%,-0.9%,-7.0%,-2.4%,US$57.753.304,"
292.586.164
","
∞
",US$2.050.716.609
Hedera,HBAR,"US$0,04965061",-0.3%,-1.7%,-2.7%,-14.9%,US$25.336.592,"
33.358.054.754
","
50 Miliar
",US$1.656.434.300
Filecoin,FIL,"US$3,19",-0.6%,-1.3%,-6.2%,-3.2%,US$46.066.076,"
450.973.231
","
1,96 Miliar
",US$1.437.409.269
Cronos,CRO,"US$0,04999389",-0.4%,-0.7%,-2.4%,-2.3%,US$4.246.078,"
26.288.051.341
","
30 Miliar
",US$1.314.112.120
Internet Computer,ICP,"US$2,95",-0.0%,-1.7%,-3.2%,-16.5%,US$13.909.056,"
445.219.607
","
506 Juta
",US$1.311.055.939
Lido DAO,LDO,"US$1,46",-0.5%,-1.5%,-7.7%,-8.4%,US$17.826.595,"
890.244.533
","
1 Miliar
",US$1.298.273.194
Aptos,APT,"US$5,41",-0.5%,-3.6%,4.3%,-5.2%,US$112.597.474,"
237.096.178
","
1,06 Miliar
",US$1.283.646.778
Mantle,MNT,"US$0,390917",-0.1%,-0.8%,-4.0%,-10.9%,US$20.661.150,"
3.235.375.850
","
6,22 Miliar
",US$1.265.528.581
Maker,MKR,"US$1.402,83",-0.3%,7.4%,10.9%,31.3%,US$112.070.925,"
901.311
","
978 Ribu
",US$1.262.160.298
Quant,QNT,"US$86,02",-0.5%,-2.7%,-6.4%,-15.8%,US$21.414.064,"
14.544.176
","
14,6 Juta
",US$1.251.636.390
VeChain,VET,"US$0,01662842",-0.6%,-1.2%,-6.5%,4.1%,US$25.040.241,"
72.714.516.834
","
86 Miliar
",US$1.209.391.609
Arbitrum,ARB,"US$0,819792",-0.4%,0.6%,-3.1%,-14.3%,US$69.579.018,"
1.275.000.000
","
10 Miliar
",US$1.044.939.634
NEAR Protocol,NEAR,"US$1,09",-0.4%,-1.8%,-3.4%,-8.0%,US$36.440.509,"
941.671.518
","
1 Miliar
",US$1.025.311.443
Optimism,OP,"US$1,28",-0.7%,2.3%,-7.8%,-11.9%,US$48.413.481,"
798.517.235
","
4,29 Miliar
",US$1.019.075.393
Kaspa,KAS,"US$0,04612040",-1.0%,-2.4%,-6.8%,27.2%,US$8.977.253,"
20.822.381.452
","
20,8 Miliar
",US$960.301.226
Rocket Pool ETH,RETH,"US$1.726,16",-0.1%,-0.5%,-3.8%,-3.8%,US$1.715.315,"
529.672
","
530 Ribu
",US$914.295.125
Aave,AAVE,"US$61,06",-0.3%,-2.8%,-1.7%,5.6%,US$58.425.109,"
14.547.769
","
16 Juta
",US$888.158.390
The Graph,GRT,"US$0,087771",-0.4%,-1.0%,-3.0%,-1.5%,US$14.017.268,"
9.230.141.318
","
10 Miliar
",US$810.109.044
Algorand,ALGO,"US$0,097412",-0.9%,-1.3%,0.3%,2.5%,US$19.013.344,"
7.832.297.057
","
7,83 Miliar
",US$763.124.052
WhiteBIT Coin,WBT,"US$5,20",-0.1%,-1.1%,-2.4%,-3.3%,US$7.778.483,"
144.118.517
","
367 Juta
",US$749.253.852
USDD,USDD,"US$1,00",-0.0%,-0.0%,-0.1%,-0.0%,US$20.382.298,"
726.584.289
","
∞
",US$727.010.978
XDC Network,XDC,"US$0,04959561",0.2%,0.1%,-7.2%,-2.8%,US$3.069.511,"
      13.865.947.497
    ","
      37,9 Miliar
    ",US$687.339.015
ImmutableX,IMX,"US$0,587573",0.6%,-4.6%,7.6%,2.2%,US$477.629.664,"
      1.167.293.573
    ","
      2 Miliar
    ",US$684.788.058
Frax,FRAX,"US$1,00",0.0%,-0.3%,0.1%,0.1%,US$4.029.075,"
      671.723.781
    ","
      672 Juta
    ",US$672.279.949
Radix,XRD,"US$0,064708",7.8%,6.7%,13.8%,22.1%,US$3.326.667,"
      10.258.814.882
    ","
      12,7 Miliar
    ",US$664.282.662
Stacks,STX,"US$0,462020",-0.7%,-0.6%,-6.9%,-1.6%,US$4.112.801,"
      1.407.756.721
    ","
      1,82 Miliar
    ",US$651.425.208
Synthetix Network,SNX,"US$1,99",0.2%,-0.9%,-7.5%,-5.8%,US$14.963.510,"
      323.759.123
    ","
      324 Juta
    ",US$644.845.625
Theta Network,THETA,"US$0,642420",-0.4%,0.7%,4.4%,3.4%,US$12.533.063,"
      1.000.000.000
    ","
      1 Miliar
    ",US$642.155.248
MultiversX,EGLD,"US$24,55",-0.3%,-1.1%,-6.1%,-2.9%,US$9.271.355,"
      26.008.558
    ","
      26 Juta
    ",US$638.280.675
EOS,EOS,"US$0,563523",-0.2%,-1.6%,-3.3%,-4.6%,US$59.544.911,"
      1.121.842.266
    ","
      ∞
    ",US$632.200.383
Bitget Token,BGB,"US$0,448017",-0.1%,-0.0%,-2.5%,3.8%,US$16.297.867,"
      1.400.001.000
    ","
      2 Miliar
    ",US$626.701.570
The Sandbox,SAND,"US$0,302023",-0.0%,0.2%,-1.0%,-6.8%,US$28.962.589,"
      2.064.931.926
    ","
      3 Miliar
    ",US$623.298.298
Tezos,XTZ,"US$0,654385",-0.2%,-1.0%,-3.8%,-6.1%,US$13.167.134,"
      945.651.185
    ","
      ∞
    ",US$618.436.773
Bitcoin SV,BSV,"US$30,96",-0.3%,0.2%,-2.5%,-0.3%,US$7.879.384,"
      19.266.077
    ","
      21 Juta
    ",US$596.860.280
Axie Infinity,AXS,"US$4,53",-0.2%,-1.7%,-1.1%,-7.0%,US$33.735.667,"
      131.495.244
    ","
      270 Juta
    ",US$595.493.216
Injective,INJ,"US$7,10",-0.2%,-0.9%,-5.1%,1.8%,US$14.360.452,"
      83.755.556
    ","
      100 Juta
    ",US$595.273.449
Render,RNDR,"US$1,49",-0.6%,-1.7%,-7.4%,4.9%,US$16.697.644,"
      371.908.453
    ","
      531 Juta
    ",US$553.437.837
Decentraland,MANA,"US$0,297095",-0.1%,-1.2%,-0.8%,-0.9%,US$21.354.077,"
      1.843.034.327
    ","
      2,19 Miliar
    ",US$547.997.231
Gate,GT,"US$3,87",-0.0%,-0.7%,-0.1%,0.2%,US$401.005,"
      137.367.574
    ","
      300 Juta
    ",US$530.940.823
Fantom,FTM,"US$0,188926",-0.4%,-0.2%,-2.7%,-6.5%,US$41.704.304,"
      2.803.634.836
    ","
      3,18 Miliar
    ",US$529.985.055
THORChain,RUNE,"US$1,72",-0.0%,-0.2%,-10.1%,17.6%,US$44.273.270,"
      300.700.561
    ","
      500 Juta
    ",US$517.759.191
NEO,NEO,"US$7,24",-0.2%,-1.2%,-5.4%,0.7%,US$17.098.998,"
      70.530.000
    ","
      100 Juta
    ",US$510.618.470
Kava,KAVA,"US$0,625087",-0.4%,-1.2%,-2.6%,-8.6%,US$6.273.163,"
      796.060.920
    ","
      796 Juta
    ",US$497.842.542
Pax Dollar,USDP,"US$1,00",0.0%,0.1%,0.0%,0.0%,US$2.847.463,"
      486.062.949
    ","
      486 Juta
    ",US$487.506.417
PAX Gold,PAXG,"US$1.905,11",-0.0%,-0.5%,-1.1%,-0.0%,US$6.627.517,"
      247.918
    ","
      248 Ribu
    ",US$472.089.137
Tether Gold,XAUT,"US$1.909,99",-0.0%,-0.7%,-1.5%,-0.4%,US$7.329.021,"
      246.524
    ","
      247 Ribu
    ",US$470.841.278
eCash,XEC,"US$0,00002396",-0.3%,-1.5%,-10.1%,-0.3%,US$5.064.152,"
      19.509.135.923.093
    ","
      21 Triliun
    ",US$466.361.125
Flow,FLOW,"US$0,442671",-0.4%,-1.4%,-2.1%,-2.3%,US$15.035.720,"
      1.036.200.000
    ","
      1,46 Miliar
    ",US$459.106.924
Curve DAO,CRV,"US$0,520229",0.2%,-0.5%,17.3%,13.4%,US$37.483.650,"
      878.335.657
    ","
      2,02 Miliar
    ",US$456.812.466
cETH,CETH,"US$31,95",0.0%,-0.3%,-3.5%,-4.3%,US$157,"
      14.214.471
    ","
      14,2 Juta
    ",US$454.189.397
Frax Share,FXS,"US$5,86",0.0%,3.8%,7.6%,-0.2%,US$14.134.429,"
      74.112.997
    ","
      99,7 Juta
    ",US$435.034.701
Rocket Pool,RPL,"US$21,73",-0.2%,-0.6%,-3.8%,-5.9%,US$2.171.341,"
      19.694.370
    ","
      19,7 Juta
    ",US$427.645.139
KuCoin,KCS,"US$4,41",-0.1%,-2.4%,-2.1%,-1.9%,US$577.868,"
      96.732.986
    ","
      144 Juta
    ",US$426.868.541
Frax Ether,FRXETH,"US$1.587,61",-0.3%,-0.5%,-3.7%,-4.1%,US$613.663,"
      263.681
    ","
      264 Ribu
    ",US$418.715.781
IOTA,MIOTA,"US$0,148910",-0.3%,-1.4%,-1.0%,-0.9%,US$5.425.147,"
      2.779.530.283
    ","
      2,78 Miliar
    ",US$414.289.962
ApeCoin,APE,"US$1,12",-0.3%,-0.4%,-1.8%,-21.4%,US$39.314.711,"
      368.593.750
    ","
      1 Miliar
    ",US$413.060.830
Chiliz,CHZ,"US$0,057616",-0.2%,-0.5%,-3.3%,-7.7%,US$23.897.130,"
      6.975.647.158
    ","
      8,89 Miliar
    ",US$401.846.329
Huobi,HT,"US$2,43",-0.4%,-0.7%,-1.5%,0.5%,US$15.566.933,"
      159.406.077
    ","
      201 Juta
    ",US$387.164.984
First Digital USD,FDUSD,"US$1,00",0.1%,-0.0%,-0.1%,0.2%,US$614.122.139,"
      386.463.578
    ","
      386 Juta
    ",US$387.148.981
Tokenize Xchange,TKX,"US$4,76",-0.1%,-0.1%,-6.9%,-4.0%,US$6.097.660,"
      79.996.000
    ","
      100 Juta
    ",US$380.503.218
BitTorrent,BTT,"US$0,000000384439",-0.1%,-0.2%,-3.2%,-7.4%,US$14.857.692,"
      951.421.714.286.000
    ","
      990 Triliun
    ",US$365.147.542
Mina Protocol,MINA,"US$0,373202",-0.2%,-1.9%,-3.2%,-4.2%,US$5.854.964,"
      974.562.579
    ","
      1,08 Miliar
    ",US$363.846.777
Casper Network,CSPR,"US$0,03197232",-0.7%,-0.7%,-9.1%,-12.7%,US$2.286.819,"
      11.345.124.640
    ","
      12 Miliar
    ",US$362.791.236
Terra,LUNC,"US$0,00006211",0.1%,1.6%,7.5%,-0.3%,US$16.413.078,"
      5.815.140.598.200
    ","
      6,84 Triliun
    ",US$361.353.980
Klaytn,KLAY,"US$0,113151",-0.3%,-1.9%,-3.5%,-19.0%,US$4.927.102,"
      3.183.423.616
    ","
      ∞
    ",US$360.251.292
GALA,GALA,"US$0,01333014",-0.7%,-1.4%,-8.5%,-30.5%,US$380.817.965,"
      26.482.389.366
    ","
      26,5 Miliar
    ",US$352.991.098
Sui,SUI,"US$0,442047",-0.1%,-0.3%,-1.9%,-24.8%,US$29.384.523,"
      791.777.575
    ","
      10 Miliar
    ",US$349.570.811
Rollbit Coin,RLB,"US$0,104251",0.5%,-3.2%,-16.4%,-45.7%,US$3.560.142,"
      3.296.951.622
    ","
      3,3 Miliar
    ",US$343.456.646
dYdX,DYDX,"US$1,89",-0.6%,-2.2%,-5.4%,-14.7%,US$16.602.061,"
      175.516.079
    ","
      1 Miliar
    ",US$331.281.199
Coinbase Wrapped Staked ETH,CBETH,"US$1.667,92",-0.1%,-0.4%,-3.7%,-3.8%,US$2.516.026,"
      195.622
    ","
      1,3 Juta
    ",US$325.986.552
Trust Wallet,TWT,"US$0,766801",-0.6%,0.3%,-5.4%,-10.5%,US$5.168.535,"
      416.649.900
    ","
      1 Miliar
    ",US$319.535.976
GMX,GMX,"US$35,27",-0.0%,1.3%,-2.4%,-4.7%,US$8.200.707,"
      9.036.990
    ","
      9,04 Juta
    ",US$318.718.454
APENFT,NFT,"US$0,000000316804",-0.0%,-0.1%,1.5%,-3.0%,US$11.212.334,"
      990.105.683.025.577
    ","
      1 Quadriliun
    ",US$313.172.684
NEXO,NEXO,"US$0,575308",-0.4%,4.4%,2.7%,-4.3%,US$1.513.853,"
      560.000.010
    ","
      1 Miliar
    ",US$309.312.252
Nexus Mutual,NXM,"US$45,71",-,-0.3%,-2.9%,-3.9%,US$12.871,"
      6.758.829
    ","
      6,76 Juta
    ",US$308.936.815
Dash,DASH,"US$26,78",-0.5%,-1.1%,1.1%,4.0%,US$17.079.401,"
      11.471.728
    ","
      18,9 Juta
    ",US$307.282.924
Gemini Dollar,GUSD,"US$1,00",-0.0%,-0.0%,0.1%,0.7%,US$980.765,"
      303.517.923
    ","
      304 Juta
    ",US$304.475.197
Staked Frax Ether,SFRXETH,"US$1.672,86",-0.2%,-1.4%,-4.2%,-4.2%,US$4.961,"
      181.130
    ","
      181 Ribu
    ",US$303.055.023
WEMIX,WEMIX,"US$0,962179",4.4%,-12.6%,43.7%,65.0%,US$12.725.652,"
      318.144.694
    ","
      974 Juta
    ",US$302.646.786
Pepe,PEPE,"US$0,000000698432",0.0%,-2.6%,8.8%,-22.1%,US$42.333.928,"
      420.690.000.000.000
    ","
      421 Triliun
    ",US$294.008.702
WOO Network,WOO,"US$0,165552",-0.4%,-1.3%,-3.6%,-1.7%,US$6.000.659,"
      1.753.616.582
    ","
      2,25 Miliar
    ",US$290.537.945
Zilliqa,ZIL,"US$0,01689550",0.1%,-0.3%,2.4%,1.5%,US$11.093.464,"
      17.062.887.204
    ","
      18,1 Miliar
    ",US$288.049.300
1inch,1INCH,"US$0,265049",-0.3%,0.2%,4.2%,7.8%,US$18.194.065,"
      1.031.425.114
    ","
      1,5 Miliar
    ",US$273.711.120
Flare,FLR,"US$0,01097268",-0.5%,-0.9%,-1.3%,-20.3%,US$2.173.184,"
      24.794.191.218
    ","
      101 Miliar
    ",US$272.325.225
Arweave,AR,"US$4,13",-0.1%,-0.3%,-5.5%,-1.7%,US$2.487.022,"
      65.454.186
    ","
      65,5 Juta
    ",US$271.081.532
Compound,COMP,"US$39,04",-0.1%,-3.7%,-1.9%,-7.7%,US$26.391.977,"
      6.856.086
    ","
      10 Juta
    ",US$267.254.240
Liquity USD,LUSD,"US$0,995617",-0.0%,-0.2%,-0.5%,-0.3%,US$5.753.597,"
      263.909.817
    ","
      264 Juta
    ",US$262.470.129
Conflux,CFX,"US$0,124209",-0.6%,-2.6%,-1.5%,-0.9%,US$11.174.877,"
      2.097.547.687
    ","
      5,28 Miliar
    ",US$260.852.492
Astar,ASTR,"US$0,04894746",-0.7%,-5.3%,-5.9%,-18.9%,US$5.318.840,"
      5.281.291.229
    ","
      8,17 Miliar
    ",US$259.080.803
Gnosis,GNO,"US$98,30",-0.1%,-0.5%,-4.3%,-3.9%,US$1.222.113,"
      2.589.589
    ","
      3 Juta
    ",US$254.358.721
Basic Attention,BAT,"US$0,169370",-0.3%,-2.5%,-4.4%,-2.0%,US$23.494.448,"
      1.489.973.010
    ","
      1,5 Miliar
    ",US$252.932.021
tomiNet,TOMI,"US$3,37",-0.7%,-5.4%,-11.1%,9.8%,US$25.071.515,"
      74.560.384
    ","
      116 Juta
    ",US$251.325.544
PancakeSwap,CAKE,"US$1,16",-0.1%,0.6%,-2.7%,-9.3%,US$15.130.424,"
      216.661.771
    ","
      389 Juta
    ",US$250.727.162
Convex Finance,CVX,"US$2,99",0.2%,-1.7%,10.5%,8.5%,US$3.670.099,"
      80.678.271
    ","
      99 Juta
    ",US$240.723.088
SafePal,SFP,"US$0,569405",-0.4%,0.2%,0.4%,9.7%,US$1.296.779,"
      420.833.333
    ","
      500 Juta
    ",US$239.701.778
cUSDC,CUSDC,"US$0,02312809",-0.0%,0.0%,0.0%,0.4%,US$101,"
      10.166.247.369
    ","
      10,2 Miliar
    ",US$235.125.879
Huobi BTC,HBTC,"US$26.109,09",-0.2%,-0.2%,-3.8%,0.0%,US$4.628,"
      8.969
    ","
      8,97 Ribu
    ",US$233.929.698
OKT Chain,OKT,"US$13,08",0.2%,0.5%,-0.9%,-4.3%,US$568.351,"
      17.847.480
    ","
      17,8 Juta
    ",US$233.265.072
Chia,XCH,"US$27,05",0.1%,-0.9%,-3.4%,-10.1%,US$1.685.286,"
      8.573.038
    ","
      29,6 Juta
    ",US$231.734.183
Celo,CELO,"US$0,450599",-0.1%,-3.6%,-1.7%,5.8%,US$22.232.465,"
      511.790.944
    ","
      1 Miliar
    ",US$230.463.986
Escoin,ELG,"US$2,65",-0.2%,-2.8%,-3.8%,-4.2%,US$452.196,"
      0
    ","
      250 Juta
    ",US$166.064.537
Illuvium,ILV,"US$38,72",-0.1%,-2.8%,-5.7%,-8.3%,US$2.835.455,"
      5.871.983
    ","
      9,62 Juta
    ",US$227.384.083
Bitcoin Gold,BTG,"US$12,92",-0.0%,-1.1%,-3.1%,-6.8%,US$1.522.881,"
      17.513.924
    ","
      21 Juta
    ",US$226.298.775
NEM,XEM,"US$0,02500928",-0.0%,-2.7%,-3.9%,-0.4%,US$3.223.085,"
      8.999.999.999
    ","
      9 Miliar
    ",US$225.053.330
Qtum,QTUM,"US$2,14",-0.4%,-1.7%,-4.6%,-1.3%,US$18.595.341,"
      104.838.301
    ","
      108 Juta
    ",US$224.225.677
ECOMI,OMI,"US$0,00082745",0.0%,-1.2%,-1.1%,-28.3%,US$684.527,"
      270.690.046.264
    ","
      311 Miliar
    ",US$224.165.325
cUSDT,CUSDT,"US$0,01883976",-,-,-,-,-,"
      11.693.031.779
    ","
      11,7 Miliar
    ",US$220.293.913
Fetch.ai,FET,"US$0,213945",-0.4%,-1.6%,-8.3%,2.6%,US$11.238.825,"
      1.043.462.805
    ","
      1,15 Miliar
    ",US$223.318.773
Enjin Coin,ENJ,"US$0,220867",-0.4%,-3.9%,-5.5%,-8.6%,US$29.587.692,"
      1.000.000.000
    ","
      1 Miliar
    ",US$221.770.699
Worldcoin,WLD,"US$1,67",-2.0%,-4.2%,24.1%,30.6%,US$83.511.014,"
      131.628.426
    ","
      10 Miliar
    ",US$219.756.157
Euro Tether,EURT,"US$1,06",-0.4%,-0.4%,-0.9%,-1.6%,US$1.240.409,"
      205.998.830
    ","
      400 Juta
    ",US$219.252.438
SingularityNET,AGIX,"US$0,176545",-0.4%,-2.1%,-5.2%,-1.2%,US$11.199.962,"
      1.235.747.261
    ","
      1,34 Miliar
    ",US$218.246.477
Bone ShibaSwap,BONE,"US$0,874313",0.3%,9.9%,7.7%,-33.6%,US$7.264.093,"
      249.918.657
    ","
      250 Juta
    ",US$217.961.552
MX,MX,"US$2,14",-0.2%,-0.2%,-4.1%,-24.0%,US$921.471,"
      100.709.834
    ","
      434 Juta
    ",US$215.578.139
Loopring,LRC,"US$0,171944",-0.1%,-0.8%,-3.6%,-4.5%,US$7.507.219,"
      1.245.991.469
    ","
      1,37 Miliar
    ",US$214.234.632
DeFiChain,DFI,"US$0,282478",-0.0%,-0.4%,-16.6%,1.4%,US$17.892.615,"
      751.013.581
    ","
      1,2 Miliar
    ",US$211.957.753
Sei,SEI,"US$0,117215",-0.2%,-2.1%,-6.9%,-11.9%,US$16.356.254,"
      1.800.000.000
    ","
      10 Miliar
    ",US$211.243.048
Mask Network,MASK,"US$2,56",0.0%,-2.5%,-2.3%,-4.6%,US$30.690.375,"
      82.112.500
    ","
      100 Juta
    ",US$210.491.007
Helium,HNT,"US$1,46",-0.2%,-1.5%,-0.6%,-15.6%,US$790.175,"
      143.934.821
    ","
      223 Juta
    ",US$210.167.131
Decred,DCR,"US$13,44",-0.0%,-0.8%,-1.2%,-1.2%,US$806.887,"
      15.519.058
    ","
      21 Juta
    ",US$208.573.659
Theta Fuel,TFUEL,"US$0,03293495",-0.2%,-1.2%,-3.6%,-1.5%,US$2.413.742,"
      6.291.690.651
    ","
      6,29 Miliar
    ",US$207.569.467
Oasis Network,ROSE,"US$0,04104816",-0.4%,-1.3%,-5.8%,2.7%,US$4.782.655,"
      5.029.357.184
    ","
      10 Miliar
    ",US$206.368.345
Zcash,ZEC,"US$26,32",-0.1%,-0.5%,1.5%,4.7%,US$10.911.472,"
      7.839.984
    ","
      21 Juta
    ",US$206.362.762
JUST,JST,"US$0,02242950",0.0%,0.1%,-1.4%,7.0%,US$9.041.031,"
      8.902.080.000
    ","
      9,9 Miliar
    ",US$199.717.186
Aragon,ANT,"US$4,97",-0.0%,1.4%,13.0%,18.2%,US$14.412.085,"
      40.030.814
    ","
      43,2 Juta
    ",US$198.617.459
Osmosis,OSMO,"US$0,316506",-0.4%,-0.8%,-6.9%,-16.0%,US$5.926.982,"
      618.424.149
    ","
      325 Juta
    ",US$196.055.890
Olympus,OHM,"US$11,42",0.0%,-0.2%,2.0%,5.3%,US$89.877,"
      17.181.719
    ","
      26,5 Juta
    ",US$196.049.291
Ankr Network,ANKR,"US$0,01915471",-0.9%,-1.3%,1.0%,-3.2%,US$8.120.794,"
      10.000.000.000
    ","
      10 Miliar
    ",US$192.365.292
Aleph Zero,AZERO,"US$0,786502",-0.2%,-2.1%,-5.7%,-5.1%,US$765.076,"
      243.159.378
    ","
      342 Juta
    ",US$191.393.756
Ethereum Name Service,ENS,"US$7,35",-0.3%,-1.7%,-4.1%,-7.3%,US$4.158.688,"
      25.783.233
    ","
      100 Juta
    ",US$189.678.883
Beldex,BDX,"US$0,03309271",-0.2%,-4.3%,-1.9%,-4.8%,US$4.095.243,"
      5.583.359.707
    ","
      9,92 Miliar
    ",US$184.855.805
Holo,HOT,"US$0,00102774",-0.3%,-0.5%,-2.2%,-4.8%,US$4.495.585,"
      177.619.433.541
    ","
      178 Miliar
    ",US$182.487.021
STEPN,GMT,"US$0,152710",-0.5%,-0.4%,-2.5%,-8.1%,US$9.928.634,"
      1.191.819.389
    ","
      5,41 Miliar
    ",US$182.184.297
Terra,LUNA,"US$0,455748",0.5%,9.2%,16.0%,9.6%,US$39.447.499,"
      385.110.069
    ","
      1,08 Miliar
    ",US$174.905.816
Golem,GLM,"US$0,174639",0.1%,-1.3%,-0.5%,2.4%,US$3.744.104,"
      1.000.000.000
    ","
      1 Miliar
    ",US$174.530.130
Akash Network,AKT,"US$0,791925",0.3%,-1.5%,-6.7%,-33.3%,US$698.157,"
      218.956.780
    ","
      219 Juta
    ",US$173.361.780
Ravencoin,RVN,"US$0,01457926",-0.4%,-1.6%,-5.0%,-4.6%,US$4.670.234,"
      11.907.968.089
    ","
      11,9 Miliar
    ",US$173.264.378
yearn.finance,YFI,"US$5.217,17",-0.2%,-0.6%,-4.7%,-9.3%,US$10.554.115,"
      33.184
    ","
      36,7 Ribu
    ",US$173.242.492
Moonbeam,GLMR,"US$0,230013",-0.6%,-4.2%,35.6%,16.1%,US$61.055.321,"
      751.221.225
    ","
      1,09 Miliar
    ",US$172.660.884
JasmyCoin,JASMY,"US$0,00356699",-0.6%,-3.0%,-0.1%,7.3%,US$12.597.536,"
      48.419.999.999
    ","
      50 Miliar
    ",US$172.653.321
Kusama,KSM,"US$18,81",-0.4%,-0.7%,-2.0%,-2.1%,US$4.343.848,"
      8.980.098
    ","
      10 Juta
    ",US$169.117.663
Alchemix USD,ALUSD,"US$0,996862",-0.0%,-0.1%,0.2%,0.1%,US$176.152,"
      168.854.140
    ","
      169 Juta
    ",US$168.174.761
aelf,ELF,"US$0,363655",-0.2%,-1.6%,-4.8%,25.0%,US$4.344.004,"
      461.329.999
    ","
      880 Juta
    ",US$167.516.602
